date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,19,50,Barracas Central,Lucas Brochero,-0.27,-0.02,-1.0,Milton Céliz,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,22,56,Barracas Central,Lucas Brochero,0.26,-0.73,-1.0,Guillermo Pereira,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,24,56,Dep. Riestra,William Machado,-0.35,-0.42,-1.0,Alan Cantero,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,27,26,Dep. Riestra,Milton Céliz,-0.33,-0.46,-1.0,Siro Rosané,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,28,32,Barracas Central,Lucas Brochero,0.23,-0.75,-1.0,Milton Céliz,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,43,26,Barracas Central,Alan Cantero,-0.78,-0.31,-1.0,Nahuel Iribarren,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,46,37,Dep. Riestra,Walter Acuña,-0.46,-0.83,-1.0,Rodrigo Insúa,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,49,43,Dep. Riestra,Gustavo Fernández,-0.27,-0.86,-1.0,Rodrigo Insúa,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,59,46,Barracas Central,Alexis Domínguez,0.51,0.44,-1.0,Ignacio Arce,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,63,31,Barracas Central,Rodrigo Insúa,-0.59,-0.68,-1.0,Walter Acuña,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,66,35,Barracas Central,Maximiliano Puig,-0.24,-0.41,-1.0,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,72,7,Barracas Central,Maximiliano Puig,-0.53,0.62,-1.0,Walter Acuña,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,75,45,Dep. Riestra,Gonzalo Bravo,-0.72,0.14,-1.0,Facundo Mater,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,77,13,Dep. Riestra,Milton Céliz,-0.45,0.17,-1.0,Carlos Arce,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,82,12,Dep. Riestra,Jonatan Goitía,0.1,-0.14,-1.0,Maximiliano Puig,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,84,29,Barracas Central,Facundo Mater,0.53,0.75,-1.0,Gustavo Fernández,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,87,37,Barracas Central,Maximiliano Puig,0.65,-0.5,-1.0,Jonatan Goitía,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,2,88,3,Dep. Riestra,Gustavo Fernández,-0.75,-0.5,-1.0,Rodrigo Insúa,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,2,30,Barracas Central,Nicolás Capraro,-0.95,0.04,-1.0,Ignacio Arce,-1.0,0.02,0.84
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,7,8,Barracas Central,Maximiliano Zalazar,-0.43,0.5,-1.0,Ignacio Arce,-0.99,-0.02,0.4
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,7,37,Barracas Central,Maximiliano Zalazar,-0.62,-0.24,-1.0,Ignacio Arce,-0.99,0.02,0.18
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,11,17,Barracas Central,Maximiliano Zalazar,0.19,0.5,-1.0,Ignacio Arce,-0.92,-0.01,0.6
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,14,24,Barracas Central,Facundo Mater,-0.59,-0.29,-1.0,Milton Céliz,-0.71,-0.19,0.63
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,15,36,Barracas Central,Lucas Brochero,-0.53,-0.54,-1.0,Milton Céliz,-0.67,-0.3,0.48
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,25,46,Barracas Central,Rodrigo Insúa,-0.31,-0.47,-1.0,Ignacio Arce,-1.0,0.02,0.49
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,26,20,Dep. Riestra,William Machado,0.41,0.16,-1.0,,1.0,-0.38,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,26,53,Dep. Riestra,Milton Céliz,0.69,0.07,-1.0,Sebastián Moyano,0.97,0.03,0.2
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,1,28,19,Barracas Central,Alexis Domínguez,-0.71,-0.23,-1.0,Nicolás Caro Torres,-0.79,-0.04,0.58
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,47,0,Dep. Riestra,Jonathan Herrera,-0.81,-0.45,-1.0,,-0.98,-0.37,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,47,52,Barracas Central,Lucas Brochero,0.95,-0.04,-1.0,,0.99,-0.06,0.2
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,47,47,Barracas Central,Alexis Domínguez,0.91,0.18,-1.0,Nicolás Caro Torres,0.99,-0.04,0.26
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,50,21,Barracas Central,Siro Rosané,0.47,-0.06,-1.0,,1.0,0.02,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,52,12,Barracas Central,Maximiliano Zalazar,0.68,-0.35,-1.0,,1.0,-0.18,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,54,8,Dep. Riestra,Milton Céliz,-0.72,0.07,-1.0,Sebastián Moyano,-0.99,0.0,0.16
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,61,51,Barracas Central,Alexis Domínguez,0.74,0.03,-1.0,,0.98,0.27,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,67,34,Dep. Riestra,Guillermo Pereira,-0.58,0.3,-1.0,,-1.0,0.69,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,72,57,Dep. Riestra,Walter Acuña,-0.66,-0.06,-1.0,Nicolás Capraro,-0.79,-0.02,0.59
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,73,25,Dep. Riestra,Jonathan Herrera,-0.75,0.22,-1.0,,-0.89,-0.94,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,90,1,Dep. Riestra,Ignacio Arce,-0.81,-0.08,-1.0,Sebastián Moyano,-1.0,0.04,0.3
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,shot,2,92,22,Dep. Riestra,Walter Acuña,-0.67,0.38,-1.0,,-0.99,0.2,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,1,10,59,Dep. Riestra,Ignacio Arce,,,,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,1,12,47,Barracas Central,Sebastián Moyano,,,,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,1,20,53,Barracas Central,Sebastián Moyano,,,,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,1,23,51,Dep. Riestra,Ignacio Arce,,,,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,1,26,31,Barracas Central,Sebastián Moyano,,,,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,47,22,Barracas Central,Sebastián Moyano,,,,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,50,28,Dep. Riestra,Ignacio Arce,,,,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,50,49,Barracas Central,Sebastián Moyano,,,,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,52,20,Dep. Riestra,Ignacio Arce,,,,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,57,34,Barracas Central,Sebastián Moyano,,,,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,61,57,Dep. Riestra,Ignacio Arce,,,,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,67,47,Barracas Central,Sebastián Moyano,,,,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,69,40,Dep. Riestra,Ignacio Arce,,,,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,82,51,Dep. Riestra,Ignacio Arce,,,,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,87,1,Barracas Central,Sebastián Moyano,,,,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,goal_kick,2,92,43,Barracas Central,Sebastián Moyano,,,,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,0,30,Dep. Riestra,Guillermo Pereira,0.22,-0.97,-1.0,,0.73,-0.8,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,0,38,Dep. Riestra,Guillermo Pereira,0.61,-0.96,-1.0,,0.85,-0.74,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,5,41,Barracas Central,Rodrigo Insúa,0.49,0.97,-1.0,,0.66,0.85,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,8,13,Barracas Central,Facundo Mater,0.58,-0.95,-1.0,,0.46,-0.7,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,11,43,Dep. Riestra,Jonatan Goitía,-0.26,0.98,-1.0,,0.29,0.74,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,13,31,Barracas Central,Rodrigo Insúa,0.23,0.98,-1.0,,0.16,0.8,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,17,22,Barracas Central,Facundo Mater,-0.35,-0.97,-1.0,,-0.31,-0.55,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,21,22,Barracas Central,Rodrigo Insúa,-0.63,0.98,-1.0,,-0.38,0.78,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,29,40,Dep. Riestra,Jonatan Goitía,0.38,0.98,-1.0,,0.89,0.81,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,30,4,Dep. Riestra,Jonatan Goitía,0.19,0.96,-1.0,,-0.1,0.78,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,30,45,Barracas Central,Facundo Mater,0.55,-0.99,-1.0,,0.48,-0.6,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,32,41,Dep. Riestra,Guillermo Pereira,0.17,-0.98,-1.0,,0.53,-0.71,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,32,55,Barracas Central,Facundo Mater,0.6,-0.99,-1.0,,0.27,-0.58,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,33,33,Barracas Central,Facundo Mater,0.38,-0.98,-1.0,,0.41,-0.68,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,36,22,Barracas Central,Facundo Mater,0.28,-0.98,-1.0,,0.29,-0.54,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,37,19,Barracas Central,Rodrigo Insúa,-0.57,0.98,-1.0,,-0.84,0.8,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,38,24,Dep. Riestra,Jonatan Goitía,-0.1,0.98,-1.0,,0.33,0.74,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,41,35,Barracas Central,Facundo Mater,-0.2,-0.96,-1.0,,0.17,-0.71,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,43,8,Barracas Central,Facundo Mater,-0.77,-0.95,-1.0,,-0.78,-0.67,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,44,22,Dep. Riestra,Guillermo Pereira,-0.4,-0.96,-1.0,,0.12,-0.68,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,44,41,Barracas Central,Facundo Mater,-0.5,-0.96,-1.0,,0.14,-0.72,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,45,7,Barracas Central,Rodrigo Insúa,-0.5,0.97,-1.0,,-0.39,0.74,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,45,54,Barracas Central,Rodrigo Insúa,0.28,0.98,-1.0,,0.12,0.82,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,1,46,39,Barracas Central,Facundo Mater,-0.06,-0.95,-1.0,,0.26,-0.71,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,51,35,Barracas Central,Rodrigo Insúa,0.72,-0.97,-1.0,,0.84,-0.7,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,52,58,Dep. Riestra,Jonatan Goitía,0.58,-0.94,-1.0,,0.08,-0.7,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,53,18,Dep. Riestra,Jonatan Goitía,-0.57,-0.96,-1.0,,-0.77,-0.77,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,53,46,Dep. Riestra,Jonatan Goitía,-0.85,-0.97,-1.0,,-0.86,-0.4,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,56,17,Dep. Riestra,Alan Barrionuevo,-0.64,0.99,-1.0,,-0.86,0.27,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,56,42,Dep. Riestra,Alan Barrionuevo,-0.78,0.97,-1.0,,-0.87,0.24,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,57,49,Barracas Central,Rodrigo Insúa,0.69,-0.95,-1.0,,0.89,-0.65,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,58,7,Barracas Central,Rodrigo Insúa,0.61,-0.97,-1.0,,0.79,-0.8,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,58,26,Barracas Central,Rodrigo Insúa,0.36,-0.95,-1.0,,0.39,-0.57,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,58,45,Dep. Riestra,Jonatan Goitía,0.55,-0.95,-1.0,,0.2,-0.87,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,63,11,Dep. Riestra,Jonatan Goitía,0.47,-0.98,-1.0,,0.63,-0.58,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,65,17,Dep. Riestra,Jonatan Goitía,-0.73,-0.98,-1.0,,-0.84,-0.7,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,66,17,Barracas Central,Rodrigo Insúa,-0.74,-0.97,-1.0,,-0.27,-0.78,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,67,21,Dep. Riestra,Alan Barrionuevo,-0.71,0.99,-1.0,,-0.82,0.33,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,68,30,Dep. Riestra,Jonatan Goitía,-0.8,-0.95,-1.0,,-0.91,-0.7,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,68,58,Dep. Riestra,Jonatan Goitía,-0.84,-0.98,-1.0,,-0.87,-0.33,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,69,57,Dep. Riestra,Jonatan Goitía,-0.27,-0.96,-1.0,,-0.35,-0.85,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,70,23,Dep. Riestra,Alan Barrionuevo,0.47,0.98,-1.0,,0.72,0.55,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,71,13,Dep. Riestra,Alan Barrionuevo,-0.41,1.0,-1.0,,-0.6,0.87,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,74,41,Barracas Central,Rodrigo Insúa,-0.82,-0.96,-1.0,,-0.27,-0.85,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,76,30,Barracas Central,Rodrigo Insúa,0.48,-0.97,-1.0,,0.7,-0.86,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,76,43,Dep. Riestra,Jonatan Goitía,0.55,-0.94,-1.0,,0.33,-0.77,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,83,55,Barracas Central,Facundo Mater,0.46,0.98,-1.0,,0.69,0.84,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,84,11,Barracas Central,Facundo Mater,0.85,0.99,-1.0,,0.93,0.84,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,85,25,Dep. Riestra,Leonardo Landriel,-0.08,0.97,-1.0,,-0.28,0.68,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,85,45,Dep. Riestra,Walter Acuña,-0.86,0.98,-1.0,,-0.66,0.86,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,86,3,Barracas Central,Rodrigo Insúa,-0.28,-0.94,-1.0,,0.24,-0.83,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,90,28,Dep. Riestra,Leonardo Landriel,0.09,0.96,-1.0,,-0.13,0.83,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,90,36,Dep. Riestra,Leonardo Landriel,0.49,0.96,-1.0,,0.73,0.79,-1.0
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,throw_in,2,90,56,Dep. Riestra,Jonatan Goitía,0.64,-0.98,-1.0,,0.69,-0.4,-1.0
